ID	TYPE	LEN	PW1_NAME	PW1_ROUTE	PW1_ROUTE_GENES
28	P1	5	Apelin signaling pathway	['n2', 'n6', 'n7', 'n8', 'n44']	['APLNR', 'GNB5', 'GNAI1', 'GNAI2', 'GNAI3', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'MAPK1', 'MAPK3']
29	P1	7	Apelin signaling pathway	['n2', 'n6', 'n31', 'n20', 'n21', 'n9', 'n10']	['APLNR', 'GNB5', 'GNAI1', 'GNAI2', 'GNAI3', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PRKCE', 'RRAS2', 'MRAS', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
30	P1	3	Apelin signaling pathway	['n2', 'n76', 'n3']	['APLNR', 'GNB5', 'GNAQ', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1']
31	P1	6	Apelin signaling pathway	['n2', 'n76', 'n20', 'n21', 'n9', 'n10']	['APLNR', 'GNB5', 'GNAQ', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'RRAS2', 'MRAS', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
32	P1	8	Apelin signaling pathway	['n2', 'n76', 'n12', 'n30', 'n31', 'n20', 'n21', 'n9', 'n10']	['APLNR', 'GNB5', 'GNAQ', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PLCB1', 'PLCB2', 'PLCB3', 'PLCB4', 'C00165', 'PRKCE', 'RRAS2', 'MRAS', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
33	P1	4	Apelin signaling pathway	['n2', 'n48', 'n78', 'n46']	['APLNR', 'GNA13', 'GNB5', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'CAMK4', 'HDAC5', 'HDAC4']
34	P1	7	Apoptosis	['n38', 'n30', 'n98', 'n97', 'n26', 'n28', 'n19', 'n16']	['NTRK1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'CHUK', 'IKBKB', 'IKBKG', 'NFKBIA', 'NFKB1', 'RELA']
35	P1	5	Apoptosis	['n38', 'n115', 'n116', 'n117', 'n118']	['NTRK1', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
36	P1	4	Apoptosis	['n39', 'n121', 'n23', 'n398']	['TNFRSF1A', 'FADD', 'TRADD', 'CASP8', 'CASP7', 'CASP3', 'CASP6']
37	P1	6	Apoptosis	['n39', 'n122', 'n80', 'n78', 'n79', 'n395']	['TNFRSF1A', 'TRAF2', 'RIPK1', 'TRADD', 'DAB2IP', 'MAP3K5', 'MAPK8', 'MAPK9', 'MAPK10', 'JUN', 'FOS', 'JUN']
38	P1	6	Apoptosis	['n39', 'n122', 'n27', 'n28', 'n19', 'n16']	['TNFRSF1A', 'TRAF2', 'RIPK1', 'TRADD', 'MAP3K14', 'CHUK', 'IKBKB', 'IKBKG', 'NFKBIA', 'NFKB1', 'RELA']
39	P1	4	Apoptosis	['n41', 'n36', 'n23', 'n398']	['FAS', 'FADD', 'CASP8', 'CASP7', 'CASP3', 'CASP6']
40	P1	5	Apoptosis	['n41', 'n77', 'n78', 'n79', 'n395']	['FAS', 'DAXX', 'MAP3K5', 'MAPK8', 'MAPK9', 'MAPK10', 'JUN', 'FOS', 'JUN']
41	P1	5	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n63']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'GLI3']
42	P1	8	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n38', 'n39', 'n23', 'n44']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'CREB3', 'CREB1', 'CREB3L4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5']
43	P1	5	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n68']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'SOX9']
44	P1	7	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n97', 'n98', 'n44']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'PPP1R1B', 'PPP1CA', 'PPP1CB', 'PPP1CC', 'CREB3', 'CREB1', 'CREB3L4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5']
45	P1	5	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n133']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'CREB3', 'CREB1', 'CREB3L4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5', 'CREBBP', 'EP300']
46	P1	5	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n134']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'NFKB1', 'RELA', 'NFKBIA']
47	P1	5	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n65']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'PPARA']
48	P1	5	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n19', 'n66']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'PRKACA', 'PRKACB', 'PRKACG', 'NFATC1']
49	P1	9	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n29', 'n37', 'n41', 'n39', 'n23', 'n44']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'RAPGEF3', 'RAPGEF4', 'RAP1A', 'RAP1B', 'BRAF', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'CREB3', 'CREB1', 'CREB3L4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5']
50	P1	9	cAMP signaling pathway	['n15', 'n16', 'n18', 'n22', 'n29', 'n37', 'n38', 'n39', 'n23', 'n44']	['CHRM1', 'CHRM2', 'ADORA1', 'ADRB2', 'DRD2', 'EDNRA', 'GABBR1', 'GHSR', 'HCAR1', 'FFAR2', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HCAR2', 'NPY1R', 'OXTR', 'SUCNR1', 'PTGER3', 'SSTR1', 'SSTR2', 'SSTR5', 'HCAR3', 'GABBR2', 'GNAI1', 'GNAI2', 'GNAI3', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575 (cAMP)', 'RAPGEF3', 'RAPGEF4', 'RAP1A', 'RAP1B', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'CREB3', 'CREB1', 'CREB3L4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5']
51	P1	8	cGMP-PKG signaling pathway	['n75', 'n74', 'n50', 'n51', 'n52', 'n53', 'n8', 'n6', 'n7', 'n48']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'NOS3', 'C00533', 'GUCY1A2', 'GUCY1A1', 'GUCY1B1', 'C00942', 'PRKG1', 'PRKG2', 'GTF2I', 'GTF2IRD1']
52	P1	8	cGMP-PKG signaling pathway	['n75', 'n74', 'n50', 'n51', 'n52', 'n53', 'n8', 'n6', 'n7', 'n42']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'NOS3', 'C00533', 'GUCY1A2', 'GUCY1A1', 'GUCY1B1', 'C00942', 'PRKG1', 'PRKG2', 'CREB3', 'CREB1', 'ATF2', 'ATF6B', 'CREB3L4', 'ATF4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5']
53	P1	10	cGMP-PKG signaling pathway	['n75', 'n74', 'n50', 'n51', 'n52', 'n53', 'n8', 'n6', 'n7', 'n25', 'n26', 'n27']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'NOS3', 'C00533', 'GUCY1A2', 'GUCY1A1', 'GUCY1B1', 'C00942', 'PRKG1', 'PRKG2', 'TRPC6', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4']
54	P1	9	ErbB signaling pathway	['n13', 'n46', 'n45', 'n44', 'n73', 'n72', 'n71', 'n70', 'n276']	['EGFR', 'SHC2', 'SHC4', 'SHC3', 'SHC1', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'ARAF', 'RAF1', 'BRAF', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'MYC', 'ELK1']
55	P1	8	ErbB signaling pathway	['n13', 'n45', 'n44', 'n73', 'n72', 'n71', 'n70', 'n276']	['EGFR', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'ARAF', 'RAF1', 'BRAF', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'MYC', 'ELK1']
56	P1	9	ErbB signaling pathway	['n60', 'n46', 'n45', 'n44', 'n73', 'n72', 'n71', 'n70', 'n276']	['EGFR', 'SHC2', 'SHC4', 'SHC3', 'SHC1', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'ARAF', 'RAF1', 'BRAF', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'MYC', 'ELK1']
57	P1	9	Estrogen signaling pathway	['n9', 'n42', 'n43', 'n44', 'n17', 'n18', 'n19', 'n20', 'n3']	['EGFR', 'SHC2', 'SHC4', 'SHC3', 'SHC1', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'ESR1', 'ESR2']
58	P1	9	Estrogen signaling pathway	['n9', 'n42', 'n43', 'n44', 'n17', 'n18', 'n19', 'n20', 'n12']	['EGFR', 'SHC2', 'SHC4', 'SHC3', 'SHC1', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'ESR1', 'ESR2']
59	P1	9	Estrogen signaling pathway	['n9', 'n42', 'n43', 'n44', 'n17', 'n18', 'n19', 'n20', 'n21']	['EGFR', 'SHC2', 'SHC4', 'SHC3', 'SHC1', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'CREB3', 'CREB1', 'ATF2', 'ATF6B', 'CREB3L4', 'ATF4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5']
60	P1	4	Fc epsilon RI signaling pathway	['n133', 'n45', 'n48', 'n25', 'n41']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'PLCG1', 'PLCG2', 'C00165', 'PRKCA']
61	P1	5	Fc epsilon RI signaling pathway	['n133', 'n45', 'n40', 'n39', 'n34']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PDPK1', 'AKT3', 'AKT1', 'AKT2']
62	P1	6	Fc epsilon RI signaling pathway	['n133', 'n45', 'n40', 'n59', 'n37', 'n58']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'RAC1', 'RAC2', 'RAC3', 'MAP2K7', 'MAP2K4', 'MAPK8', 'MAPK9', 'MAPK10']
63	P1	6	Fc epsilon RI signaling pathway	['n133', 'n45', 'n40', 'n59', 'n38', 'n36']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'RAC1', 'RAC2', 'RAC3', 'MAP2K3', 'MAP2K6', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']
64	P1	5	Fc epsilon RI signaling pathway	['n133', 'n45', 'n43', 'n48', 'n25', 'n41']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'LCP2', 'PLCG1', 'PLCG2', 'C00165', 'PRKCA']
65	P1	7	Fc epsilon RI signaling pathway	['n133', 'n45', 'n43', 'n60', 'n59', 'n37', 'n58']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'LCP2', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'RAC3', 'MAP2K7', 'MAP2K4', 'MAPK8', 'MAPK9', 'MAPK10']
66	P1	7	Fc epsilon RI signaling pathway	['n133', 'n45', 'n43', 'n60', 'n59', 'n38', 'n36']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'LCP2', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'RAC3', 'MAP2K3', 'MAP2K6', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']
67	P1	6	Fc epsilon RI signaling pathway	['n133', 'n45', 'n60', 'n59', 'n37', 'n58']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'RAC3', 'MAP2K7', 'MAP2K4', 'MAPK8', 'MAPK9', 'MAPK10']
68	P1	6	Fc epsilon RI signaling pathway	['n133', 'n45', 'n60', 'n59', 'n38', 'n36']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'RAC3', 'MAP2K3', 'MAP2K6', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']
